uuid,node_type,name,parent_uuid,size,expanded,capacity,space_type_uuid,ventilated,opening_time_override,closing_time_override,position_x,position_y,students_by_year,default_attendance_rate,number_of_students,attendance_rate,mean_age,std_age,sex_ratio,career_uuid,course_uuid
24e003a7-b5af-4fd6-9fcf-fa8a89431175,spacegroup,Q1,6ed72aab-42fb-4687-98d0-3ac798ee13b5,1.0,1,,,,,,,,,,,,,,,,
fa8fbd65-112e-4c06-bd48-648cc4ee0cdb,spacegroup,Q1/0,24e003a7-b5af-4fd6-9fcf-fa8a89431175,1.0,1,,,,,,,,,,,,,,,,
a3b8188a-e690-4a62-a161-76f40f3ab29f,space,Sala Graus,fa8fbd65-112e-4c06-bd48-648cc4ee0cdb,1.0,,,classroom,0,,,0.0,0.0,,,,,,,,,
3efd30a0-09a6-4565-8f0d-39044c317374,space,Aula d'informàtica A,fa8fbd65-112e-4c06-bd48-648cc4ee0cdb,1.0,,30,classroom,0,,,0.0,0.0,,,,,,,,,
621115d9-af05-480e-88d6-2054cda59426,space,Aula d'informàtica B,fa8fbd65-112e-4c06-bd48-648cc4ee0cdb,1.0,,30,classroom,0,,,0.0,0.0,,,,,,,,,
46674a0f-a3e4-4300-ae33-64d205d8caa4,spacegroup,Q1/1,24e003a7-b5af-4fd6-9fcf-fa8a89431175,1.0,1,,,,,,,,,,,,,,,,
81ff1e33-ed0f-4d67-87a6-87c19711620e,space,Q1/1003,46674a0f-a3e4-4300-ae33-64d205d8caa4,1.0,,60,classroom,0,,,0.0,0.0,,,,,,,,,
8f157a70-3edd-47d8-8764-4c328e3e9b48,space,Q1/1007,46674a0f-a3e4-4300-ae33-64d205d8caa4,1.0,,60,classroom,0,,,0.0,0.0,,,,,,,,,
685802c7-1b50-409e-aa7b-b0e8c20acdf1,space,Q1/1011,46674a0f-a3e4-4300-ae33-64d205d8caa4,1.0,,60,classroom,0,,,0.0,0.0,,,,,,,,,
57574b1b-c08b-4f30-bea3-7987a1a1d5d9,spacegroup,Q2,6ed72aab-42fb-4687-98d0-3ac798ee13b5,1.0,1,,,,,,,,,,,,,,,,
7b7099fb-aeb9-4d30-9142-3743c7f8c934,spacegroup,Q2/0,57574b1b-c08b-4f30-bea3-7987a1a1d5d9,1.0,1,,,,,,,,,,,,,,,,
19fea8a6-7d41-4720-9337-a59c54da119a,space,Menjador,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,80,common_space,0,,,0.0,0.0,,,,,,,,,
3b30aedd-556a-4627-bfc7-1387446274c0,space,Laboratori integrat d'informàtica 1,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,15,lab,0,,,0.0,0.0,,,,,,,,,
42b08884-77ec-4419-9340-b6b4e9364ed6,space,Laboratori integrat d'informàtica 2,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,15,lab,0,,,0.0,0.0,,,,,,,,,
3dc69da4-e3d6-4c4c-a594-303031db4f84,space,Laboratori integrat d'informàtica 3,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,15,lab,0,,,0.0,0.0,,,,,,,,,
75f46fd8-abd3-4f70-a456-719c6280defc,space,Laboratori integrat d'informàtica 4,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,15,lab,0,,,0.0,0.0,,,,,,,,,
9eef45b4-12ea-45a8-b729-881c33744e89,space,Laboratori integrat d'informàtica 5,7b7099fb-aeb9-4d30-9142-3743c7f8c934,1.0,,15,lab,0,,,0.0,0.0,,,,,,,,,
64757042-7f66-451e-8b1f-e57c6bfc5484,spacegroup,Q2/1,57574b1b-c08b-4f30-bea3-7987a1a1d5d9,1.0,1,,,,,,,,,,,,,,,,
867d1307-b041-4323-bc5a-4b1eae6d2c64,space,Q2/1003,64757042-7f66-451e-8b1f-e57c6bfc5484,1.0,,30,classroom,0,,,0.0,0.0,,,,,,,,,
